iter	Passed	Remaining
0	56	56422
1	58	28950
2	61	20448
3	63	15854
4	67	13477
5	69	11533
6	71	10177
7	74	9286
8	79	8699
9	81	8079
10	83	7531
11	86	7091
12	88	6736
13	91	6446
14	93	6143
15	95	5862
16	97	5617
17	99	5432
18	101	5229
19	103	5089
20	105	4926
21	109	4869
22	111	4719
23	112	4564
24	113	4437
25	114	4293
26	115	4155
27	116	4028
28	116	3913
29	117	3804
30	118	3709
31	120	3632
32	121	3548
33	122	3469
34	122	3385
35	123	3305
36	124	3229
37	124	3156
38	125	3087
39	125	3022
40	126	2960
41	127	2900
42	127	2845
43	128	2790
44	129	2745
45	129	2695
46	130	2646
47	131	2598
48	131	2553
49	132	2509
50	132	2471
51	133	2435
52	134	2407
53	135	2371
54	136	2344
55	137	2313
56	137	2280
57	138	2246
58	138	2214
59	139	2182
60	139	2152
61	140	2122
62	140	2093
63	141	2065
64	141	2040
65	142	2014
66	142	1988
67	143	1962
68	143	1937
69	144	1913
70	144	1889
71	144	1866
72	145	1843
73	145	1822
74	146	1800
75	146	1779
76	146	1759
77	147	1746
78	148	1729
79	149	1715
80	149	1698
81	150	1681
82	150	1663
83	150	1645
84	151	1629
85	151	1613
86	152	1596
87	152	1580
88	152	1565
89	153	1549
90	153	1534
91	153	1519
92	154	1504
93	154	1490
94	155	1476
95	155	1463
96	155	1449
97	156	1436
98	156	1423
99	156	1410
100	157	1398
101	157	1386
102	157	1374
103	158	1362
104	158	1350
105	158	1339
106	159	1328
107	159	1318
108	160	1308
109	160	1298
110	160	1287
111	161	1277
112	161	1267
113	161	1257
114	162	1250
115	163	1245
116	163	1236
117	164	1229
118	165	1223
119	165	1216
120	166	1209
121	166	1200
122	167	1192
123	167	1183
124	167	1175
125	168	1166
126	168	1157
127	168	1149
128	169	1142
129	169	1134
130	169	1126
131	170	1118
132	170	1111
133	170	1103
134	171	1096
135	171	1089
136	171	1082
137	172	1075
138	172	1068
139	172	1061
140	173	1054
141	173	1047
142	174	1043
143	174	1037
144	174	1030
145	175	1024
146	175	1018
147	175	1012
148	176	1006
149	176	1000
150	176	994
151	177	988
152	177	984
153	179	985
154	180	981
155	180	977
156	181	972
157	181	966
158	181	961
159	182	956
160	182	950
161	182	945
162	183	940
163	184	939
164	184	934
165	185	930
166	185	925
167	185	920
168	186	916
169	186	911
170	187	906
171	187	902
172	187	897
173	188	893
174	188	890
175	189	885
176	189	881
177	189	877
178	190	873
179	190	869
180	191	864
181	191	860
182	191	856
183	192	854
184	193	850
185	193	847
186	194	844
187	194	841
188	195	838
189	195	834
190	196	831
191	196	827
192	196	823
193	197	819
194	197	815
195	198	812
196	198	808
197	198	805
198	199	801
199	199	797
200	199	794
201	200	790
202	200	787
203	200	783
204	201	780
205	201	777
206	201	773
207	202	770
208	202	767
209	203	763
210	203	760
211	203	757
212	204	754
213	204	751
214	204	747
215	205	744
216	205	741
217	205	738
218	206	735
219	206	732
220	207	732
221	208	731
222	209	728
223	209	726
224	210	724
225	210	722
226	211	719
227	211	717
228	212	714
229	212	711
230	212	708
231	213	705
232	213	703
233	213	700
234	214	697
235	214	694
236	214	692
237	215	689
238	215	686
239	216	684
240	216	681
241	216	679
242	217	677
243	217	675
244	218	672
245	218	670
246	219	668
247	219	666
248	220	664
249	220	661
250	220	659
251	221	656
252	221	655
253	222	653
254	223	652
255	223	650
256	224	648
257	225	647
258	225	645
259	225	642
260	226	640
261	226	638
262	226	635
263	227	633
264	227	631
265	227	628
266	228	626
267	228	624
268	229	622
269	229	620
270	229	618
271	230	616
272	230	614
273	231	612
274	231	610
275	231	608
276	232	606
277	232	604
278	233	602
279	233	600
280	233	598
281	234	596
282	234	594
283	234	592
284	235	590
285	235	588
286	235	586
287	236	584
288	237	583
289	237	581
290	238	580
291	238	578
292	238	576
293	239	574
294	240	573
295	240	571
296	240	570
297	241	569
298	242	567
299	242	565
300	242	563
301	243	561
302	243	559
303	243	558
304	244	556
305	244	554
306	244	552
307	245	550
308	245	548
309	245	547
310	246	545
311	246	543
312	246	541
313	247	540
314	247	538
315	248	536
316	248	535
317	248	533
318	249	532
319	249	530
320	250	529
321	250	527
322	250	525
323	251	524
324	252	523
325	253	523
326	253	522
327	254	520
328	254	519
329	255	517
330	255	516
331	255	514
332	256	513
333	256	511
334	256	510
335	257	508
336	257	507
337	258	505
338	258	503
339	258	502
340	259	500
341	259	499
342	259	497
343	260	496
344	260	494
345	261	493
346	261	491
347	261	490
348	262	488
349	262	487
350	262	486
351	263	485
352	264	484
353	264	482
354	264	481
355	265	480
356	265	479
357	268	480
358	268	479
359	269	479
360	270	478
361	270	476
362	271	476
363	271	475
364	272	473
365	272	472
366	273	471
367	273	470
368	274	468
369	274	467
370	274	466
371	275	464
372	275	463
373	276	462
374	276	460
375	276	459
376	277	458
377	277	456
378	278	455
379	278	454
380	278	453
381	279	451
382	279	450
383	280	449
384	280	447
385	280	446
386	281	446
387	283	446
388	283	445
389	284	444
390	284	443
391	285	442
392	285	441
393	285	439
394	286	438
395	286	437
396	287	436
397	287	435
398	287	433
399	288	432
400	288	431
401	289	430
402	289	428
403	289	427
404	290	426
405	290	425
406	291	424
407	291	423
408	292	422
409	292	421
410	293	420
411	293	419
412	294	417
413	294	416
414	294	415
415	295	414
416	295	413
417	295	411
418	296	410
419	296	409
420	297	409
421	298	408
422	298	407
423	299	406
424	299	405
425	300	404
426	300	403
427	301	402
428	301	401
429	301	400
430	302	399
431	302	397
432	303	396
433	303	395
434	303	394
435	304	393
436	304	392
437	304	391
438	305	390
439	305	389
440	305	387
441	306	387
442	307	386
443	307	384
444	307	383
445	308	382
446	308	381
447	308	380
448	309	379
449	309	378
450	309	377
451	310	376
452	310	375
453	311	374
454	311	373
455	312	373
456	314	373
457	314	372
458	315	371
459	315	370
460	315	369
461	316	368
462	316	367
463	317	366
464	317	365
465	317	364
466	318	363
467	318	362
468	318	360
469	319	359
470	319	358
471	319	357
472	320	356
473	320	355
474	321	354
475	321	353
476	321	352
477	322	351
478	322	350
479	322	349
480	323	348
481	323	347
482	324	346
483	324	345
484	324	344
485	325	343
486	325	342
487	325	341
488	326	341
489	327	340
490	327	339
491	328	339
492	329	338
493	329	337
494	330	336
495	330	335
496	331	335
497	331	334
498	331	333
499	332	332
500	332	331
501	332	330
502	333	329
503	333	328
504	334	327
505	334	326
506	334	325
507	335	324
508	335	323
509	335	322
510	336	321
511	336	320
512	337	320
513	337	319
514	338	318
515	338	317
516	339	316
517	339	315
518	339	314
519	340	313
520	340	313
521	340	312
522	341	311
523	343	311
524	343	311
525	344	310
526	344	309
527	345	308
528	345	307
529	345	306
530	346	305
531	346	304
532	346	303
533	347	302
534	347	302
535	347	301
536	348	300
537	348	299
538	348	298
539	349	297
540	349	296
541	350	296
542	350	295
543	351	294
544	351	293
545	351	292
546	352	291
547	352	290
548	353	290
549	353	289
550	354	288
551	354	287
552	355	286
553	364	293
554	364	292
555	365	291
556	365	290
557	366	290
558	366	289
559	367	288
560	367	287
561	369	287
562	369	286
563	370	286
564	370	285
565	371	284
566	371	283
567	372	283
568	375	284
569	375	283
570	376	282
571	376	281
572	377	281
573	377	280
574	377	279
575	378	278
576	378	277
577	379	276
578	379	276
579	381	276
580	382	275
581	383	275
582	383	274
583	384	273
584	385	273
585	385	272
586	386	271
587	387	271
588	388	271
589	390	271
590	391	270
591	392	270
592	393	269
593	394	269
594	395	268
595	395	268
596	396	267
597	397	267
598	398	266
599	399	266
600	400	265
601	401	265
602	402	264
603	403	264
604	405	265
605	406	264
606	407	264
607	408	263
608	409	262
609	409	261
610	411	262
611	412	261
612	413	260
613	413	259
614	413	259
615	414	258
616	414	257
617	415	256
618	415	255
619	415	254
620	416	253
621	416	253
622	421	255
623	424	255
624	426	255
625	426	254
626	426	253
627	428	253
628	433	255
629	435	255
630	437	255
631	438	255
632	438	254
633	439	253
634	439	252
635	439	251
636	440	250
637	440	250
638	441	249
639	441	248
640	441	247
641	442	246
642	442	245
643	442	244
644	443	243
645	443	243
646	444	242
647	444	241
648	444	240
649	445	239
650	445	238
651	446	238
652	446	237
653	446	236
654	447	235
655	447	234
656	447	233
657	448	232
658	448	232
659	449	231
660	449	230
661	449	229
662	450	229
663	452	228
664	452	228
665	453	227
666	454	227
667	455	226
668	455	225
669	455	224
670	456	223
671	456	223
672	457	222
673	457	221
674	458	220
675	458	219
676	459	219
677	459	218
678	459	217
679	460	216
680	460	215
681	461	214
682	461	214
683	462	213
684	462	212
685	462	211
686	463	211
687	463	210
688	464	209
689	464	208
690	465	208
691	465	207
692	466	206
693	466	205
694	467	205
695	468	204
696	468	203
697	468	202
698	469	202
699	469	201
700	470	200
701	470	199
702	470	198
703	471	198
704	471	197
705	472	196
706	472	195
707	472	194
708	473	194
709	473	193
710	473	192
711	474	191
712	474	191
713	475	190
714	475	189
715	476	188
716	476	188
717	476	187
718	477	186
719	477	185
720	478	184
721	478	184
722	478	183
723	479	182
724	480	182
725	481	181
726	482	181
727	483	180
728	484	179
729	484	179
730	484	178
731	485	177
732	485	176
733	486	176
734	486	175
735	487	174
736	488	174
737	488	173
738	488	172
739	489	171
740	489	171
741	489	170
742	490	169
743	490	168
744	491	168
745	491	167
746	492	166
747	492	165
748	492	165
749	493	164
750	493	163
751	494	163
752	494	162
753	495	161
754	495	160
755	497	160
756	497	159
757	497	158
758	498	158
759	498	157
760	499	156
761	499	156
762	500	155
763	500	154
764	500	153
765	501	153
766	501	152
767	501	151
768	502	150
769	502	150
770	503	149
771	503	148
772	504	148
773	504	147
774	504	146
775	505	145
776	505	145
777	506	144
778	506	143
779	506	142
780	507	142
781	507	141
782	507	140
783	508	140
784	508	139
785	509	138
786	511	138
787	511	137
788	512	136
789	512	136
790	513	135
791	513	134
792	513	134
793	514	133
794	514	132
795	515	131
796	515	131
797	516	130
798	516	129
799	516	129
800	517	128
801	517	127
802	518	127
803	518	126
804	518	125
805	519	125
806	519	124
807	520	123
808	520	122
809	521	122
810	521	121
811	521	120
812	522	120
813	522	119
814	523	118
815	523	118
816	523	117
817	526	117
818	527	116
819	527	115
820	528	115
821	528	114
822	529	113
823	529	113
824	530	112
825	531	111
826	531	111
827	532	110
828	532	109
829	533	109
830	533	108
831	534	107
832	534	107
833	534	106
834	535	105
835	535	105
836	536	104
837	536	103
838	537	103
839	537	102
840	538	101
841	538	101
842	539	100
843	539	99
844	541	99
845	541	98
846	542	97
847	542	97
848	543	96
849	543	95
850	544	95
851	544	94
852	544	93
853	545	93
854	545	92
855	546	91
856	546	91
857	547	90
858	547	89
859	547	89
860	548	88
861	548	87
862	549	87
863	549	86
864	549	85
865	550	85
866	550	84
867	551	83
868	551	83
869	551	82
870	552	81
871	552	81
872	553	80
873	553	79
874	553	79
875	554	78
876	554	77
877	555	77
878	556	76
879	556	75
880	557	75
881	557	74
882	558	73
883	558	73
884	559	72
885	559	72
886	560	71
887	560	70
888	561	70
889	561	69
890	561	68
891	562	68
892	562	67
893	563	66
894	563	66
895	563	65
896	564	64
897	564	64
898	565	63
899	565	62
900	565	62
901	566	61
902	566	60
903	567	60
904	567	59
905	567	58
906	568	58
907	568	57
908	569	56
909	569	56
910	570	55
911	570	55
912	571	54
913	571	53
914	572	53
915	572	52
916	573	51
917	573	51
918	574	50
919	574	49
920	575	49
921	575	48
922	575	48
923	576	47
924	576	46
925	577	46
926	577	45
927	578	44
928	578	44
929	578	43
930	579	42
931	580	42
932	580	41
933	580	41
934	581	40
935	581	39
936	582	39
937	582	38
938	583	37
939	583	37
940	584	36
941	585	36
942	586	35
943	587	34
944	588	34
945	588	33
946	589	32
947	589	32
948	590	31
949	590	31
950	591	30
951	591	29
952	592	29
953	592	28
954	592	27
955	593	27
956	593	26
957	594	26
958	594	25
959	594	24
960	595	24
961	595	23
962	596	22
963	596	22
964	596	21
965	597	21
966	597	20
967	598	19
968	598	19
969	599	18
970	600	17
971	600	17
972	601	16
973	602	16
974	602	15
975	603	14
976	603	14
977	603	13
978	604	12
979	604	12
980	605	11
981	605	11
982	606	10
983	606	9
984	607	9
985	607	8
986	608	8
987	608	7
988	608	6
989	609	6
990	609	5
991	610	4
992	610	4
993	610	3
994	611	3
995	611	2
996	612	1
997	612	1
998	612	0
999	613	0
